"destino","exportaciones_acum","año","mes","tipo_destino","exportaciones_mensual_raw","correccion_estadistica","exportaciones_mensual"
"AFRICA",104165818,2017,1,"agregado",104165818,FALSE,104165818
"AFRICA",217600919,2017,2,"agregado",113435101,FALSE,113435101
"AFRICA",394817186,2017,3,"agregado",177216267,FALSE,177216267
"AFRICA",563661170,2017,4,"agregado",168843984,FALSE,168843984
"AFRICA",681887537,2017,5,"agregado",118226367,FALSE,118226367
"AFRICA",811309676.29,2017,6,"agregado",129422139.29,FALSE,129422139.29
"AFRICA",946584565,2017,7,"agregado",135274888.71,FALSE,135274888.71
"AFRICA",1105104817.87,2017,8,"agregado",158520252.87,FALSE,158520252.87
"AFRICA",1205048744,2017,9,"agregado",99943926.1300001,FALSE,99943926.1300001
"AFRICA",1380358795,2017,10,"agregado",175310051,FALSE,175310051
"AFRICA",1489191702,2017,11,"agregado",108832907,FALSE,108832907
"AFRICA",1657302681,2017,12,"agregado",168110979,FALSE,168110979
"AMERICA",256838917,2017,1,"agregado",256838917,FALSE,256838917
"AMERICA",463739753,2017,2,"agregado",206900836,FALSE,206900836
"AMERICA",672331066,2017,3,"agregado",208591313,FALSE,208591313
"AMERICA",978160069,2017,4,"agregado",305829003,FALSE,305829003
"AMERICA",1344244912,2017,5,"agregado",366084843,FALSE,366084843
"AMERICA",1645913113.76,2017,6,"agregado",301668201.76,FALSE,301668201.76
"AMERICA",2033797716,2017,7,"agregado",387884602.24,FALSE,387884602.24
"AMERICA",2335387844.44,2017,8,"agregado",301590128.44,FALSE,301590128.44
"AMERICA",2574453743,2017,9,"agregado",239065898.56,FALSE,239065898.56
"AMERICA",2816145332,2017,10,"agregado",241691589,FALSE,241691589
"AMERICA",3020043447,2017,11,"agregado",203898115,FALSE,203898115
"AMERICA",3275285067,2017,12,"agregado",255241620,FALSE,255241620
"ASIA",460053276,2017,1,"agregado",460053276,FALSE,460053276
"ASIA",783552314,2017,2,"agregado",323499038,FALSE,323499038
"ASIA",1276066581,2017,3,"agregado",492514267,FALSE,492514267
"ASIA",1744289815,2017,4,"agregado",468223234,FALSE,468223234
"ASIA",2358035450,2017,5,"agregado",613745635,FALSE,613745635
"ASIA",2797142061.12,2017,6,"agregado",439106611.12,FALSE,439106611.12
"ASIA",3272967780,2017,7,"agregado",475825718.88,FALSE,475825718.88
"ASIA",3834845292.08,2017,8,"agregado",561877512.08,FALSE,561877512.08
"ASIA",4188051807,2017,9,"agregado",353206514.92,FALSE,353206514.92
"ASIA",4671592897,2017,10,"agregado",483541090,FALSE,483541090
"ASIA",5047616233,2017,11,"agregado",376023336,FALSE,376023336
"ASIA",5508504558,2017,12,"agregado",460888325,FALSE,460888325
"Afganistán",93832,2017,2,"pais",93832,FALSE,93832
"Afganistán",93832,2017,3,"pais",0,FALSE,0
"Afganistán",93832,2017,4,"pais",0,FALSE,0
"Afganistán",93832,2017,5,"pais",0,FALSE,0
"Afganistán",93831.55,2017,6,"pais",-0.44999999999709,TRUE,0
"Afganistán",93832,2017,7,"pais",0.44999999999709,FALSE,0.44999999999709
"Afganistán",93831.55,2017,8,"pais",-0.44999999999709,TRUE,0
"Afganistán",93832,2017,9,"pais",0.44999999999709,FALSE,0.44999999999709
"Afganistán",99887,2017,10,"pais",6055,FALSE,6055
"Afganistán",99887,2017,11,"pais",0,FALSE,0
"Afganistán",100993,2017,12,"pais",1106,FALSE,1106
"Albania",0,2017,1,"pais",0,FALSE,0
"Albania",0,2017,2,"pais",0,FALSE,0
"Albania",3111,2017,3,"pais",3111,FALSE,3111
"Albania",5957,2017,4,"pais",2846,FALSE,2846
"Albania",7245,2017,5,"pais",1288,FALSE,1288
"Albania",62109.56,2017,6,"pais",54864.56,FALSE,54864.56
"Albania",62110,2017,7,"pais",0.440000000002328,FALSE,0.440000000002328
